date,shift,machine_id,unit,department,reason,duration_minutes
2026-06-02,1,TOY-14,Unit I,Weaving,Maintenance - scheduled,138
2026-06-02,1,TSU-05,Unit I,Weaving,Traveller change work,13
2026-06-02,1,RF-07,Unit I,Spinning,Bobbin shortage,79
2026-06-02,1,VTX-02,Unit I,Spinning,Full cleaning work,98
2026-06-02,1,AJ-01,Unit I,Spinning,Full cleaning work,145
2026-06-02,2,TOY-03,Unit I,Weaving,Bobbin shortage,47
2026-06-02,2,TOY-07,Unit I,Weaving,Weft break PBM,38
2026-06-02,2,TOY-10,Unit I,Weaving,Traveller change work,16
2026-06-02,2,TSU-01,Unit I,Weaving,Weft break PBM,44
2026-06-02,2,TSU-08,Unit I,Weaving,Full cleaning work,61
2026-06-02,2,TSU-09,Unit I,Weaving,Full cleaning work,141
2026-06-02,2,VTX-09,Unit I,Spinning,Voltage fluctuation PBM,12
2026-06-02,3,TOY-02,Unit I,Weaving,Loom runout,32
2026-06-02,3,TOY-09,Unit I,Weaving,Voltage fluctuation PBM,9
2026-06-02,3,TOY-14,Unit I,Weaving,Weft break PBM,19
2026-06-02,3,TSU-01,Unit I,Weaving,Bobbin shortage,107
2026-06-02,3,TSU-05,Unit I,Weaving,Loom runout,33
2026-06-02,3,TSU-09,Unit I,Weaving,Voltage fluctuation PBM,14
2026-06-02,3,TSU-10,Unit I,Weaving,Traveller change work,18
2026-06-02,3,RF-11,Unit I,Spinning,Traveller change work,28
2026-06-02,3,VTX-01,Unit I,Spinning,Voltage fluctuation PBM,6
2026-06-02,3,VTX-06,Unit I,Spinning,Bobbin shortage,111
2026-06-02,3,VTX-12,Unit I,Spinning,Sort change work,51
2026-06-03,1,TOY-01,Unit I,Weaving,Loom runout,40
2026-06-03,1,TOY-11,Unit I,Weaving,Loom runout,49
2026-06-03,1,RF-02,Unit I,Spinning,Sort change work,56
2026-06-03,1,RF-05,Unit I,Spinning,Voltage fluctuation PBM,15
2026-06-03,1,RF-08,Unit I,Spinning,Full cleaning work,146
2026-06-03,1,RF-11,Unit I,Spinning,Maintenance - scheduled,171
2026-06-03,1,VTX-06,Unit I,Spinning,Loom runout,60
2026-06-03,1,VTX-08,Unit I,Spinning,Sort change work,74
2026-06-03,1,VTX-10,Unit I,Spinning,Full cleaning work,67
2026-06-03,2,TOY-01,Unit I,Weaving,Bobbin shortage,109
2026-06-03,2,TOY-04,Unit I,Weaving,Maintenance - scheduled,175
2026-06-03,2,TOY-08,Unit I,Weaving,Bobbin shortage,91
2026-06-03,2,TSU-05,Unit I,Weaving,Full cleaning work,76
2026-06-03,2,SUL-02,Unit I,Weaving,Traveller change work,22
2026-06-03,2,VTX-02,Unit I,Spinning,Weft break PBM,45
2026-06-03,2,VTX-03,Unit I,Spinning,Maintenance - scheduled,74
2026-06-03,2,VTX-04,Unit I,Spinning,Sort change work,54
2026-06-03,2,AJ-01,Unit I,Spinning,Maintenance - scheduled,138
2026-06-03,2,AJ-04,Unit I,Spinning,Full cleaning work,87
2026-06-03,3,TOY-07,Unit I,Weaving,Full cleaning work,91
2026-06-03,3,TOY-08,Unit I,Weaving,Traveller change work,28
2026-06-03,3,TOY-13,Unit I,Weaving,Weft break PBM,26
2026-06-03,3,TOY-14,Unit I,Weaving,Voltage fluctuation PBM,6
2026-06-03,3,TSU-02,Unit I,Weaving,Traveller change work,29
2026-06-03,3,TSU-06,Unit I,Weaving,Maintenance - scheduled,69
2026-06-03,3,RF-05,Unit I,Spinning,Loom runout,25
2026-06-03,3,RF-10,Unit I,Spinning,Full cleaning work,145
2026-06-03,3,RF-11,Unit I,Spinning,Full cleaning work,145
2026-06-03,3,VTX-03,Unit I,Spinning,Voltage fluctuation PBM,14
2026-06-03,3,VTX-06,Unit I,Spinning,Maintenance - scheduled,88
2026-06-03,3,VTX-10,Unit I,Spinning,Voltage fluctuation PBM,12
2026-06-03,3,AJ-05,Unit I,Spinning,Voltage fluctuation PBM,5
2026-06-04,1,TOY-04,Unit I,Weaving,Weft break PBM,17
2026-06-04,1,TOY-08,Unit I,Weaving,Sort change work,78
2026-06-04,1,TOY-09,Unit I,Weaving,Maintenance - scheduled,144
2026-06-04,1,TSU-02,Unit I,Weaving,Bobbin shortage,52
2026-06-04,1,TSU-09,Unit I,Weaving,Full cleaning work,81
2026-06-04,1,SUL-05,Unit I,Weaving,Traveller change work,21
2026-06-04,1,VTX-10,Unit I,Spinning,Maintenance - scheduled,140
2026-06-04,1,AJ-01,Unit I,Spinning,Loom runout,39
2026-06-04,1,AJ-03,Unit I,Spinning,Full cleaning work,96
2026-06-04,1,AJ-04,Unit I,Spinning,Loom runout,59
2026-06-04,2,TOY-05,Unit I,Weaving,Loom runout,41
2026-06-04,2,TSU-03,Unit I,Weaving,Bobbin shortage,112
2026-06-04,2,VTX-12,Unit I,Spinning,Maintenance - scheduled,171
2026-06-04,3,TOY-01,Unit I,Weaving,Sort change work,47
2026-06-04,3,TOY-02,Unit I,Weaving,Bobbin shortage,41
2026-06-04,3,TOY-08,Unit I,Weaving,Maintenance - scheduled,149
2026-06-04,3,TOY-10,Unit I,Weaving,Voltage fluctuation PBM,11
2026-06-04,3,TOY-13,Unit I,Weaving,Bobbin shortage,111
2026-06-04,3,TOY-14,Unit I,Weaving,Maintenance - scheduled,136
2026-06-04,3,TSU-04,Unit I,Weaving,Weft break PBM,27
2026-06-04,3,TSU-06,Unit I,Weaving,Loom runout,42
2026-06-04,3,SUL-02,Unit I,Weaving,Maintenance - scheduled,64
2026-06-04,3,RF-04,Unit I,Spinning,Full cleaning work,94
2026-06-04,3,VTX-06,Unit I,Spinning,Sort change work,64
2026-06-04,3,VTX-08,Unit I,Spinning,Full cleaning work,144
2026-06-05,1,TOY-06,Unit I,Weaving,Full cleaning work,106
2026-06-05,1,TOY-07,Unit I,Weaving,Sort change work,73
2026-06-05,1,SUL-03,Unit I,Weaving,Full cleaning work,142
2026-06-05,1,RF-05,Unit I,Spinning,Loom runout,53
2026-06-05,1,VTX-06,Unit I,Spinning,Loom runout,52
2026-06-05,1,AJ-03,Unit I,Spinning,Weft break PBM,17
2026-06-05,1,AJ-04,Unit I,Spinning,Voltage fluctuation PBM,11
2026-06-05,2,TOY-05,Unit I,Weaving,Weft break PBM,20
2026-06-05,2,TOY-10,Unit I,Weaving,Traveller change work,24
2026-06-05,2,TSU-02,Unit I,Weaving,Bobbin shortage,94
2026-06-05,2,TSU-06,Unit I,Weaving,Loom runout,47
2026-06-05,2,RF-01,Unit I,Spinning,Full cleaning work,120
2026-06-05,2,VTX-05,Unit I,Spinning,Full cleaning work,146
2026-06-05,2,VTX-06,Unit I,Spinning,Bobbin shortage,104
2026-06-05,2,AJ-05,Unit I,Spinning,Maintenance - scheduled,81
2026-06-05,3,TOY-04,Unit I,Weaving,Weft break PBM,29
2026-06-05,3,SUL-04,Unit I,Weaving,Full cleaning work,120
2026-06-05,3,RF-09,Unit I,Spinning,Loom runout,56
2026-06-05,3,VTX-01,Unit I,Spinning,Sort change work,56
2026-06-05,3,VTX-12,Unit I,Spinning,Loom runout,41
2026-06-06,1,TOY-04,Unit I,Weaving,Full cleaning work,97
2026-06-06,1,TOY-07,Unit I,Weaving,Loom runout,31
2026-06-06,1,TOY-12,Unit I,Weaving,Loom runout,49
2026-06-06,1,TSU-06,Unit I,Weaving,Maintenance - scheduled,127
2026-06-06,1,RF-01,Unit I,Spinning,Traveller change work,28
2026-06-06,1,RF-02,Unit I,Spinning,Bobbin shortage,74
2026-06-06,1,RF-05,Unit I,Spinning,Loom runout,50
2026-06-06,1,RF-06,Unit I,Spinning,Bobbin shortage,53
2026-06-06,1,AJ-03,Unit I,Spinning,Weft break PBM,24
2026-06-06,2,TOY-02,Unit I,Weaving,Full cleaning work,79
2026-06-06,2,TOY-06,Unit I,Weaving,Weft break PBM,29
2026-06-06,2,TSU-02,Unit I,Weaving,Full cleaning work,142
2026-06-06,2,SUL-01,Unit I,Weaving,Traveller change work,11
2026-06-06,2,RF-01,Unit I,Spinning,Traveller change work,13
2026-06-06,2,VTX-11,Unit I,Spinning,Traveller change work,14
2026-06-06,2,VTX-12,Unit I,Spinning,Bobbin shortage,67
2026-06-06,3,TOY-13,Unit I,Weaving,Bobbin shortage,31
2026-06-06,3,TSU-02,Unit I,Weaving,Sort change work,45
2026-06-06,3,TSU-07,Unit I,Weaving,Weft break PBM,17
2026-06-06,3,SUL-04,Unit I,Weaving,Loom runout,37
2026-06-06,3,SUL-05,Unit I,Weaving,Full cleaning work,62
2026-06-06,3,RF-04,Unit I,Spinning,Sort change work,66
2026-06-06,3,RF-11,Unit I,Spinning,Loom runout,52
2026-06-06,3,VTX-02,Unit I,Spinning,Traveller change work,12
2026-06-06,3,VTX-08,Unit I,Spinning,Voltage fluctuation PBM,19
2026-06-06,3,AJ-03,Unit I,Spinning,Voltage fluctuation PBM,12
2026-06-06,3,AJ-05,Unit I,Spinning,Sort change work,54
2026-06-07,1,TOY-03,Unit I,Weaving,Voltage fluctuation PBM,19
2026-06-07,1,TOY-04,Unit I,Weaving,Loom runout,31
2026-06-07,1,TOY-06,Unit I,Weaving,Loom runout,58
2026-06-07,1,TOY-12,Unit I,Weaving,Bobbin shortage,65
2026-06-07,1,SUL-02,Unit I,Weaving,Maintenance - scheduled,180
2026-06-07,1,RF-04,Unit I,Spinning,Maintenance - scheduled,134
2026-06-07,1,VTX-03,Unit I,Spinning,Traveller change work,21
2026-06-07,1,VTX-12,Unit I,Spinning,Loom runout,36
2026-06-07,2,TOY-09,Unit I,Weaving,Loom runout,21
2026-06-07,2,TOY-15,Unit I,Weaving,Traveller change work,24
2026-06-07,2,TSU-01,Unit I,Weaving,Traveller change work,16
2026-06-07,2,SUL-01,Unit I,Weaving,Voltage fluctuation PBM,8
2026-06-07,2,RF-05,Unit I,Spinning,Full cleaning work,61
2026-06-07,2,VTX-06,Unit I,Spinning,Weft break PBM,23
2026-06-07,3,TOY-03,Unit I,Weaving,Traveller change work,19
2026-06-07,3,RF-02,Unit I,Spinning,Maintenance - scheduled,62
2026-06-07,3,RF-06,Unit I,Spinning,Bobbin shortage,55
2026-06-07,3,VTX-01,Unit I,Spinning,Full cleaning work,92
2026-06-07,3,VTX-02,Unit I,Spinning,Sort change work,33
2026-06-07,3,VTX-06,Unit I,Spinning,Loom runout,26
2026-06-07,3,VTX-07,Unit I,Spinning,Maintenance - scheduled,69
2026-06-07,3,VTX-11,Unit I,Spinning,Full cleaning work,75
2026-06-07,3,AJ-03,Unit I,Spinning,Bobbin shortage,41
2026-06-07,3,AJ-05,Unit I,Spinning,Full cleaning work,107
2026-06-08,1,TOY-04,Unit I,Weaving,Sort change work,58
2026-06-08,1,TOY-07,Unit I,Weaving,Loom runout,28
2026-06-08,1,TSU-01,Unit I,Weaving,Maintenance - scheduled,141
2026-06-08,1,TSU-07,Unit I,Weaving,Traveller change work,11
2026-06-08,1,SUL-02,Unit I,Weaving,Traveller change work,14
2026-06-08,1,SUL-04,Unit I,Weaving,Bobbin shortage,60
2026-06-08,1,RF-05,Unit I,Spinning,Sort change work,74
2026-06-08,1,RF-06,Unit I,Spinning,Maintenance - scheduled,104
2026-06-08,1,RF-11,Unit I,Spinning,Voltage fluctuation PBM,8
2026-06-08,1,VTX-01,Unit I,Spinning,Bobbin shortage,64
2026-06-08,1,VTX-08,Unit I,Spinning,Sort change work,53
2026-06-08,1,AJ-01,Unit I,Spinning,Weft break PBM,16
2026-06-08,1,AJ-03,Unit I,Spinning,Weft break PBM,30
2026-06-08,2,TOY-08,Unit I,Weaving,Maintenance - scheduled,170
2026-06-08,2,TOY-10,Unit I,Weaving,Traveller change work,19
2026-06-08,2,TSU-04,Unit I,Weaving,Traveller change work,23
2026-06-08,2,TSU-06,Unit I,Weaving,Traveller change work,26
2026-06-08,2,TSU-08,Unit I,Weaving,Sort change work,70
2026-06-08,2,RF-07,Unit I,Spinning,Voltage fluctuation PBM,6
2026-06-08,2,VTX-02,Unit I,Spinning,Voltage fluctuation PBM,13
2026-06-08,2,VTX-09,Unit I,Spinning,Loom runout,28
2026-06-08,2,VTX-11,Unit I,Spinning,Traveller change work,14
2026-06-08,2,AJ-04,Unit I,Spinning,Voltage fluctuation PBM,7
2026-06-08,2,AJ-05,Unit I,Spinning,Loom runout,32
2026-06-08,3,TOY-02,Unit I,Weaving,Full cleaning work,75
2026-06-08,3,TOY-03,Unit I,Weaving,Bobbin shortage,80
2026-06-08,3,TOY-09,Unit I,Weaving,Bobbin shortage,47
2026-06-08,3,TSU-01,Unit I,Weaving,Voltage fluctuation PBM,6
2026-06-08,3,TSU-03,Unit I,Weaving,Traveller change work,18
2026-06-08,3,RF-07,Unit I,Spinning,Sort change work,79
2026-06-08,3,RF-08,Unit I,Spinning,Full cleaning work,69
2026-06-08,3,RF-12,Unit I,Spinning,Voltage fluctuation PBM,15
2026-06-09,1,TOY-07,Unit I,Weaving,Full cleaning work,117
2026-06-09,1,TOY-08,Unit I,Weaving,Loom runout,42
2026-06-09,1,TSU-02,Unit I,Weaving,Loom runout,41
2026-06-09,1,TSU-09,Unit I,Weaving,Maintenance - scheduled,79
2026-06-09,1,SUL-02,Unit I,Weaving,Sort change work,70
2026-06-09,1,RF-09,Unit I,Spinning,Loom runout,25
2026-06-09,1,VTX-03,Unit I,Spinning,Bobbin shortage,96
2026-06-09,1,VTX-10,Unit I,Spinning,Weft break PBM,31
2026-06-09,2,TOY-03,Unit I,Weaving,Bobbin shortage,55
2026-06-09,2,TOY-08,Unit I,Weaving,Bobbin shortage,44
2026-06-09,2,TOY-11,Unit I,Weaving,Voltage fluctuation PBM,16
2026-06-09,2,TOY-13,Unit I,Weaving,Voltage fluctuation PBM,17
2026-06-09,2,TSU-01,Unit I,Weaving,Maintenance - scheduled,177
2026-06-09,2,TSU-02,Unit I,Weaving,Voltage fluctuation PBM,14
2026-06-09,2,RF-11,Unit I,Spinning,Loom runout,38
2026-06-09,2,RF-12,Unit I,Spinning,Weft break PBM,20
2026-06-09,2,VTX-06,Unit I,Spinning,Bobbin shortage,95
2026-06-09,2,VTX-07,Unit I,Spinning,Weft break PBM,30
2026-06-09,2,VTX-11,Unit I,Spinning,Voltage fluctuation PBM,14
2026-06-09,3,TOY-03,Unit I,Weaving,Full cleaning work,131
2026-06-09,3,TOY-05,Unit I,Weaving,Voltage fluctuation PBM,15
2026-06-09,3,RF-03,Unit I,Spinning,Full cleaning work,140
2026-06-09,3,RF-06,Unit I,Spinning,Maintenance - scheduled,95
2026-06-09,3,VTX-06,Unit I,Spinning,Traveller change work,21
2026-06-09,3,VTX-11,Unit I,Spinning,Weft break PBM,35
2026-06-09,3,AJ-04,Unit I,Spinning,Voltage fluctuation PBM,10
2026-06-09,3,AJ-05,Unit I,Spinning,Weft break PBM,24
2026-06-10,1,TOY-07,Unit I,Weaving,Sort change work,37
2026-06-10,1,TOY-12,Unit I,Weaving,Maintenance - scheduled,108
2026-06-10,1,TSU-04,Unit I,Weaving,Traveller change work,29
2026-06-10,1,SUL-02,Unit I,Weaving,Voltage fluctuation PBM,12
2026-06-10,1,RF-02,Unit I,Spinning,Weft break PBM,15
2026-06-10,1,RF-10,Unit I,Spinning,Full cleaning work,83
2026-06-10,1,RF-11,Unit I,Spinning,Bobbin shortage,88
2026-06-10,1,VTX-06,Unit I,Spinning,Weft break PBM,45
2026-06-10,1,VTX-08,Unit I,Spinning,Maintenance - scheduled,162
2026-06-10,2,TOY-07,Unit I,Weaving,Traveller change work,25
2026-06-10,2,TOY-12,Unit I,Weaving,Maintenance - scheduled,101
2026-06-10,2,TOY-15,Unit I,Weaving,Maintenance - scheduled,162
2026-06-10,2,TSU-03,Unit I,Weaving,Bobbin shortage,34
2026-06-10,2,SUL-04,Unit I,Weaving,Sort change work,61
2026-06-10,2,RF-08,Unit I,Spinning,Bobbin shortage,35
2026-06-10,2,VTX-07,Unit I,Spinning,Bobbin shortage,104
2026-06-10,3,TOY-08,Unit I,Weaving,Voltage fluctuation PBM,16
2026-06-10,3,TOY-15,Unit I,Weaving,Sort change work,33
2026-06-10,3,TSU-05,Unit I,Weaving,Traveller change work,30
2026-06-10,3,SUL-05,Unit I,Weaving,Sort change work,77
2026-06-10,3,RF-01,Unit I,Spinning,Voltage fluctuation PBM,13
2026-06-10,3,RF-10,Unit I,Spinning,Voltage fluctuation PBM,20
2026-06-10,3,VTX-01,Unit I,Spinning,Full cleaning work,127
2026-06-10,3,VTX-04,Unit I,Spinning,Sort change work,56
2026-06-11,1,TOY-01,Unit I,Weaving,Full cleaning work,117
2026-06-11,1,TOY-03,Unit I,Weaving,Full cleaning work,108
2026-06-11,1,TOY-08,Unit I,Weaving,Loom runout,30
2026-06-11,1,TOY-11,Unit I,Weaving,Bobbin shortage,112
2026-06-11,1,TOY-13,Unit I,Weaving,Loom runout,23
2026-06-11,1,TSU-05,Unit I,Weaving,Loom runout,38
2026-06-11,1,TSU-06,Unit I,Weaving,Maintenance - scheduled,108
2026-06-11,1,TSU-07,Unit I,Weaving,Sort change work,64
2026-06-11,1,VTX-05,Unit I,Spinning,Loom runout,32
2026-06-11,1,VTX-11,Unit I,Spinning,Loom runout,32
2026-06-11,2,TOY-02,Unit I,Weaving,Full cleaning work,91
2026-06-11,2,TOY-10,Unit I,Weaving,Loom runout,21
2026-06-11,2,TSU-02,Unit I,Weaving,Full cleaning work,124
2026-06-11,2,VTX-03,Unit I,Spinning,Voltage fluctuation PBM,11
2026-06-11,2,VTX-11,Unit I,Spinning,Maintenance - scheduled,121
2026-06-11,2,AJ-03,Unit I,Spinning,Weft break PBM,19
2026-06-11,3,TOY-02,Unit I,Weaving,Sort change work,46
2026-06-11,3,TOY-11,Unit I,Weaving,Bobbin shortage,79
2026-06-11,3,TSU-01,Unit I,Weaving,Maintenance - scheduled,144
2026-06-11,3,SUL-01,Unit I,Weaving,Weft break PBM,33
2026-06-11,3,SUL-02,Unit I,Weaving,Traveller change work,20
2026-06-11,3,VTX-02,Unit I,Spinning,Traveller change work,24
2026-06-11,3,VTX-05,Unit I,Spinning,Bobbin shortage,73
2026-06-11,3,VTX-09,Unit I,Spinning,Bobbin shortage,111
2026-06-11,3,VTX-10,Unit I,Spinning,Loom runout,29
2026-06-11,3,AJ-01,Unit I,Spinning,Voltage fluctuation PBM,12
2026-06-12,1,TOY-06,Unit I,Weaving,Traveller change work,29
2026-06-12,1,TOY-08,Unit I,Weaving,Voltage fluctuation PBM,17
2026-06-12,1,TSU-08,Unit I,Weaving,Traveller change work,17
2026-06-12,1,SUL-02,Unit I,Weaving,Sort change work,60
2026-06-12,1,RF-07,Unit I,Spinning,Loom runout,51
2026-06-12,1,RF-11,Unit I,Spinning,Maintenance - scheduled,107
2026-06-12,1,VTX-11,Unit I,Spinning,Bobbin shortage,91
2026-06-12,1,AJ-01,Unit I,Spinning,Full cleaning work,110
2026-06-12,2,TOY-02,Unit I,Weaving,Traveller change work,22
2026-06-12,2,TOY-08,Unit I,Weaving,Sort change work,66
2026-06-12,2,TOY-09,Unit I,Weaving,Voltage fluctuation PBM,12
2026-06-12,2,TSU-01,Unit I,Weaving,Sort change work,33
2026-06-12,2,TSU-10,Unit I,Weaving,Voltage fluctuation PBM,19
2026-06-12,2,RF-11,Unit I,Spinning,Voltage fluctuation PBM,7
2026-06-12,2,VTX-02,Unit I,Spinning,Maintenance - scheduled,130
2026-06-12,2,VTX-03,Unit I,Spinning,Bobbin shortage,97
2026-06-12,2,VTX-05,Unit I,Spinning,Voltage fluctuation PBM,9
2026-06-12,2,VTX-06,Unit I,Spinning,Bobbin shortage,69
2026-06-12,2,AJ-01,Unit I,Spinning,Full cleaning work,101
2026-06-12,3,TOY-08,Unit I,Weaving,Sort change work,52
2026-06-12,3,TOY-09,Unit I,Weaving,Maintenance - scheduled,156
2026-06-12,3,TOY-15,Unit I,Weaving,Traveller change work,26
2026-06-12,3,TSU-04,Unit I,Weaving,Maintenance - scheduled,139
2026-06-12,3,TSU-09,Unit I,Weaving,Weft break PBM,30
2026-06-12,3,RF-08,Unit I,Spinning,Traveller change work,25
2026-06-12,3,VTX-06,Unit I,Spinning,Full cleaning work,66
2026-06-12,3,VTX-09,Unit I,Spinning,Bobbin shortage,71
2026-06-12,3,VTX-10,Unit I,Spinning,Voltage fluctuation PBM,8
2026-06-13,1,TOY-02,Unit I,Weaving,Full cleaning work,140
2026-06-13,1,TOY-04,Unit I,Weaving,Maintenance - scheduled,89
2026-06-13,1,TSU-07,Unit I,Weaving,Loom runout,22
2026-06-13,1,TSU-08,Unit I,Weaving,Loom runout,51
2026-06-13,1,SUL-01,Unit I,Weaving,Traveller change work,29
2026-06-13,1,RF-02,Unit I,Spinning,Voltage fluctuation PBM,6
2026-06-13,1,RF-05,Unit I,Spinning,Traveller change work,26
2026-06-13,1,RF-06,Unit I,Spinning,Traveller change work,27
2026-06-13,1,VTX-08,Unit I,Spinning,Sort change work,65
2026-06-13,2,TOY-06,Unit I,Weaving,Voltage fluctuation PBM,5
2026-06-13,2,TOY-08,Unit I,Weaving,Full cleaning work,62
2026-06-13,2,TSU-09,Unit I,Weaving,Sort change work,50
2026-06-13,2,SUL-05,Unit I,Weaving,Bobbin shortage,63
2026-06-13,2,RF-11,Unit I,Spinning,Voltage fluctuation PBM,18
2026-06-13,2,VTX-02,Unit I,Spinning,Bobbin shortage,84
2026-06-13,3,TOY-02,Unit I,Weaving,Sort change work,85
2026-06-13,3,TOY-10,Unit I,Weaving,Traveller change work,29
2026-06-13,3,TSU-01,Unit I,Weaving,Full cleaning work,122
2026-06-13,3,TSU-08,Unit I,Weaving,Voltage fluctuation PBM,17
2026-06-13,3,VTX-02,Unit I,Spinning,Loom runout,31
2026-06-13,3,AJ-04,Unit I,Spinning,Sort change work,31
2026-06-14,1,TOY-14,Unit I,Weaving,Bobbin shortage,70
2026-06-14,1,SUL-01,Unit I,Weaving,Sort change work,55
2026-06-14,1,SUL-02,Unit I,Weaving,Maintenance - scheduled,135
2026-06-14,1,RF-03,Unit I,Spinning,Bobbin shortage,95
2026-06-14,1,RF-07,Unit I,Spinning,Sort change work,88
2026-06-14,1,RF-11,Unit I,Spinning,Sort change work,41
2026-06-14,1,VTX-01,Unit I,Spinning,Voltage fluctuation PBM,14
2026-06-14,1,VTX-08,Unit I,Spinning,Voltage fluctuation PBM,5
2026-06-14,1,VTX-12,Unit I,Spinning,Maintenance - scheduled,90
2026-06-14,2,TOY-01,Unit I,Weaving,Voltage fluctuation PBM,11
2026-06-14,2,TOY-02,Unit I,Weaving,Full cleaning work,64
2026-06-14,2,TOY-09,Unit I,Weaving,Voltage fluctuation PBM,15
2026-06-14,2,TOY-11,Unit I,Weaving,Maintenance - scheduled,77
2026-06-14,2,TOY-14,Unit I,Weaving,Loom runout,50
2026-06-14,2,TSU-07,Unit I,Weaving,Loom runout,33
2026-06-14,2,SUL-01,Unit I,Weaving,Voltage fluctuation PBM,15
2026-06-14,2,RF-11,Unit I,Spinning,Full cleaning work,131
2026-06-14,2,VTX-08,Unit I,Spinning,Bobbin shortage,110
2026-06-14,2,AJ-01,Unit I,Spinning,Voltage fluctuation PBM,15
2026-06-14,2,AJ-04,Unit I,Spinning,Traveller change work,21
2026-06-14,3,TOY-02,Unit I,Weaving,Full cleaning work,64
2026-06-14,3,TOY-08,Unit I,Weaving,Weft break PBM,29
2026-06-14,3,TOY-10,Unit I,Weaving,Loom runout,41
2026-06-14,3,TOY-11,Unit I,Weaving,Voltage fluctuation PBM,5
2026-06-14,3,TSU-06,Unit I,Weaving,Weft break PBM,30
2026-06-14,3,SUL-02,Unit I,Weaving,Maintenance - scheduled,132
2026-06-14,3,RF-11,Unit I,Spinning,Maintenance - scheduled,74
2026-06-14,3,VTX-06,Unit I,Spinning,Loom runout,40
2026-06-14,3,VTX-08,Unit I,Spinning,Voltage fluctuation PBM,19
2026-06-15,1,TOY-02,Unit I,Weaving,Traveller change work,15
2026-06-15,1,TOY-07,Unit I,Weaving,Bobbin shortage,71
2026-06-15,1,TOY-08,Unit I,Weaving,Traveller change work,14
2026-06-15,1,SUL-02,Unit I,Weaving,Weft break PBM,19
2026-06-15,1,RF-11,Unit I,Spinning,Voltage fluctuation PBM,18
2026-06-15,1,VTX-02,Unit I,Spinning,Weft break PBM,33
2026-06-15,1,VTX-07,Unit I,Spinning,Voltage fluctuation PBM,19
2026-06-15,2,TOY-02,Unit I,Weaving,Maintenance - scheduled,125
2026-06-15,2,TOY-08,Unit I,Weaving,Voltage fluctuation PBM,5
2026-06-15,2,TOY-12,Unit I,Weaving,Sort change work,88
2026-06-15,2,SUL-04,Unit I,Weaving,Full cleaning work,115
2026-06-15,2,VTX-01,Unit I,Spinning,Weft break PBM,41
2026-06-15,2,VTX-02,Unit I,Spinning,Bobbin shortage,42
2026-06-15,2,VTX-08,Unit I,Spinning,Loom runout,23
2026-06-15,2,AJ-03,Unit I,Spinning,Sort change work,54
2026-06-15,3,TOY-08,Unit I,Weaving,Weft break PBM,23
2026-06-15,3,TOY-09,Unit I,Weaving,Traveller change work,29
2026-06-15,3,TOY-13,Unit I,Weaving,Loom runout,56
2026-06-15,3,RF-05,Unit I,Spinning,Weft break PBM,38
2026-06-15,3,VTX-03,Unit I,Spinning,Full cleaning work,67
2026-06-15,3,AJ-03,Unit I,Spinning,Sort change work,61
2026-06-16,1,TOY-03,Unit I,Weaving,Voltage fluctuation PBM,8
2026-06-16,1,TOY-05,Unit I,Weaving,Maintenance - scheduled,136
2026-06-16,1,TOY-08,Unit I,Weaving,Sort change work,50
2026-06-16,1,TOY-15,Unit I,Weaving,Weft break PBM,20
2026-06-16,1,TSU-08,Unit I,Weaving,Traveller change work,16
