date,shift,machine_id,unit,fabric_style,revenue
2026-06-01,3,TOY-12,Unit I,VSF Export,4537.58
2026-06-01,3,TOY-13,Unit I,VSF Export,4665.67
2026-06-01,3,TOY-14,Unit I,Liveaco Compact,3892.52
2026-06-01,3,TOY-15,Unit I,Excel Slub,3843.14
2026-06-01,3,TSU-01,Unit I,Liveaco Compact,2628.11
2026-06-01,3,TSU-02,Unit I,Excel Slub,2995.35
2026-06-01,3,TSU-03,Unit I,VSF Export,3558.12
2026-06-01,3,TSU-04,Unit I,VSF Export,2957.33
2026-06-01,3,TSU-05,Unit I,Excel Slub,3213.26
2026-06-01,3,TSU-06,Unit I,Excel Slub,3150.04
2026-06-01,3,TSU-07,Unit I,Liveaco Compact,2485.55
2026-06-01,3,TSU-08,Unit I,Excel Slub,3009.57
2026-06-01,3,TSU-09,Unit I,Liveaco Compact,3251.46
2026-06-01,3,TSU-10,Unit I,Excel Slub,3008.96
2026-06-01,3,SUL-01,Unit I,Excel Slub,599.1
2026-06-01,3,SUL-02,Unit I,VSF Export,669.44
2026-06-01,3,SUL-03,Unit I,Liveaco Compact,492.63
2026-06-01,3,SUL-04,Unit I,Liveaco Compact,510.15
2026-06-01,3,SUL-05,Unit I,Excel Slub,482.17
2026-06-02,1,TOY-01,Unit I,VSF Export,5014.17
2026-06-02,1,TOY-02,Unit I,VSF Export,4312.61
2026-06-02,1,TOY-03,Unit I,VSF Export,5112.58
2026-06-02,1,TOY-04,Unit I,Liveaco Compact,4261.89
2026-06-02,1,TOY-05,Unit I,VSF Export,5140.23
2026-06-02,1,TOY-06,Unit I,Excel Slub,4279.02
2026-06-02,1,TOY-07,Unit I,VSF Export,5411.73
2026-06-02,1,TOY-08,Unit I,VSF Export,4089.33
2026-06-02,1,TOY-09,Unit I,Liveaco Compact,4186.03
2026-06-02,1,TOY-10,Unit I,Liveaco Compact,4429.1
2026-06-02,1,TOY-11,Unit I,VSF Export,4602.82
2026-06-02,1,TOY-12,Unit I,Excel Slub,4380.99
2026-06-02,1,TOY-13,Unit I,Excel Slub,3791.09
2026-06-02,1,TOY-14,Unit I,Excel Slub,4289.36
2026-06-02,1,TOY-15,Unit I,VSF Export,4854.57
2026-06-02,1,TSU-01,Unit I,Liveaco Compact,2795.92
2026-06-02,1,TSU-02,Unit I,VSF Export,2879.58
2026-06-02,1,TSU-03,Unit I,Excel Slub,3263.63
2026-06-02,1,TSU-04,Unit I,VSF Export,3501.65
2026-06-02,1,TSU-05,Unit I,Liveaco Compact,2492.95
2026-06-02,1,TSU-06,Unit I,VSF Export,3784.01
2026-06-02,1,TSU-07,Unit I,Liveaco Compact,2893.78
2026-06-02,1,TSU-08,Unit I,VSF Export,3166.99
2026-06-02,1,TSU-09,Unit I,Liveaco Compact,3102.92
2026-06-02,1,TSU-10,Unit I,Liveaco Compact,2875.65
2026-06-02,1,SUL-01,Unit I,VSF Export,619.14
2026-06-02,1,SUL-02,Unit I,Liveaco Compact,548.15
2026-06-02,1,SUL-03,Unit I,Excel Slub,533.33
2026-06-02,1,SUL-04,Unit I,Liveaco Compact,465.32
2026-06-02,1,SUL-05,Unit I,Excel Slub,526.76
2026-06-02,2,TOY-01,Unit I,VSF Export,4450.25
2026-06-02,2,TOY-02,Unit I,VSF Export,4163.66
2026-06-02,2,TOY-03,Unit I,Liveaco Compact,3688.65
2026-06-02,2,TOY-04,Unit I,Liveaco Compact,4018.78
2026-06-02,2,TOY-05,Unit I,Liveaco Compact,3738.02
2026-06-02,2,TOY-06,Unit I,Liveaco Compact,3856.01
2026-06-02,2,TOY-07,Unit I,VSF Export,4623.9
2026-06-02,2,TOY-08,Unit I,Excel Slub,3956.31
2026-06-02,2,TOY-09,Unit I,VSF Export,4208.71
2026-06-02,2,TOY-10,Unit I,Excel Slub,4459.84
2026-06-02,2,TOY-11,Unit I,Liveaco Compact,4114.48
2026-06-02,2,TOY-12,Unit I,Excel Slub,4249.86
2026-06-02,2,TOY-13,Unit I,Liveaco Compact,4011.12
2026-06-02,2,TOY-14,Unit I,VSF Export,5273.63
2026-06-02,2,TOY-15,Unit I,Excel Slub,4522.48
2026-06-02,2,TSU-01,Unit I,Liveaco Compact,3002.56
2026-06-02,2,TSU-02,Unit I,Liveaco Compact,2908.61
2026-06-02,2,TSU-03,Unit I,Excel Slub,3284.4
2026-06-02,2,TSU-04,Unit I,Excel Slub,2594.23
2026-06-02,2,TSU-05,Unit I,VSF Export,3399.57
2026-06-02,2,TSU-06,Unit I,VSF Export,3803.5
2026-06-02,2,TSU-07,Unit I,Liveaco Compact,2804.11
2026-06-02,2,TSU-08,Unit I,Liveaco Compact,3073.37
2026-06-02,2,TSU-09,Unit I,Liveaco Compact,3058.09
2026-06-02,2,TSU-10,Unit I,VSF Export,3267.11
2026-06-02,2,SUL-01,Unit I,VSF Export,651.25
2026-06-02,2,SUL-02,Unit I,Liveaco Compact,418.19
2026-06-02,2,SUL-03,Unit I,VSF Export,555.27
2026-06-02,2,SUL-04,Unit I,Excel Slub,519.9
2026-06-02,2,SUL-05,Unit I,Liveaco Compact,481.04
2026-06-02,3,TOY-01,Unit I,Liveaco Compact,3752.68
2026-06-02,3,TOY-02,Unit I,Liveaco Compact,3274.89
2026-06-02,3,TOY-03,Unit I,VSF Export,4710.94
2026-06-02,3,TOY-04,Unit I,Liveaco Compact,4065.96
2026-06-02,3,TOY-05,Unit I,VSF Export,5210.47
2026-06-02,3,TOY-06,Unit I,Excel Slub,4065.99
2026-06-02,3,TOY-07,Unit I,Liveaco Compact,3576.46
2026-06-02,3,TOY-08,Unit I,Liveaco Compact,3192.52
2026-06-02,3,TOY-09,Unit I,VSF Export,5482.79
2026-06-02,3,TOY-10,Unit I,Excel Slub,4492.86
2026-06-02,3,TOY-11,Unit I,Liveaco Compact,3976.07
2026-06-02,3,TOY-12,Unit I,Liveaco Compact,4675.61
2026-06-02,3,TOY-13,Unit I,Excel Slub,4208.92
2026-06-02,3,TOY-14,Unit I,Excel Slub,4843.46
2026-06-02,3,TOY-15,Unit I,Excel Slub,4818.08
2026-06-02,3,TSU-01,Unit I,VSF Export,3577.22
2026-06-02,3,TSU-02,Unit I,VSF Export,3513.87
2026-06-02,3,TSU-03,Unit I,Liveaco Compact,3156.13
2026-06-02,3,TSU-04,Unit I,Liveaco Compact,2982.67
2026-06-02,3,TSU-05,Unit I,VSF Export,3391.94
2026-06-02,3,TSU-06,Unit I,Excel Slub,2907.41
2026-06-02,3,TSU-07,Unit I,Excel Slub,2857.95
2026-06-02,3,TSU-08,Unit I,VSF Export,3343.84
2026-06-02,3,TSU-09,Unit I,VSF Export,3728.49
2026-06-02,3,TSU-10,Unit I,VSF Export,3457.47
2026-06-02,3,SUL-01,Unit I,Excel Slub,545.97
2026-06-02,3,SUL-02,Unit I,VSF Export,590.24
2026-06-02,3,SUL-03,Unit I,Excel Slub,482.38
2026-06-02,3,SUL-04,Unit I,Liveaco Compact,544.76
2026-06-02,3,SUL-05,Unit I,Liveaco Compact,475.09
2026-06-03,1,TOY-01,Unit I,Liveaco Compact,3933.49
2026-06-03,1,TOY-02,Unit I,Liveaco Compact,3364.79
2026-06-03,1,TOY-03,Unit I,Excel Slub,4567.32
2026-06-03,1,TOY-04,Unit I,Liveaco Compact,3661.21
2026-06-03,1,TOY-05,Unit I,VSF Export,5289.66
2026-06-03,1,TOY-06,Unit I,Excel Slub,3987.82
2026-06-03,1,TOY-07,Unit I,Liveaco Compact,4141.35
2026-06-03,1,TOY-08,Unit I,Excel Slub,3620.05
2026-06-03,1,TOY-09,Unit I,Excel Slub,4591.53
2026-06-03,1,TOY-10,Unit I,Excel Slub,4573.05
2026-06-03,1,TOY-11,Unit I,Excel Slub,4728.73
2026-06-03,1,TOY-12,Unit I,VSF Export,4641.36
2026-06-03,1,TOY-13,Unit I,Liveaco Compact,4406.36
2026-06-03,1,TOY-14,Unit I,Excel Slub,4396.69
2026-06-03,1,TOY-15,Unit I,Excel Slub,4830.67
2026-06-03,1,TSU-01,Unit I,Excel Slub,3153.03
2026-06-03,1,TSU-02,Unit I,Liveaco Compact,2734.59
2026-06-03,1,TSU-03,Unit I,Liveaco Compact,3080.97
2026-06-03,1,TSU-04,Unit I,Liveaco Compact,3170.46
2026-06-03,1,TSU-05,Unit I,VSF Export,3585.12
2026-06-03,1,TSU-06,Unit I,VSF Export,3588.73
2026-06-03,1,TSU-07,Unit I,VSF Export,3201.17
2026-06-03,1,TSU-08,Unit I,Excel Slub,3512.47
2026-06-03,1,TSU-09,Unit I,Liveaco Compact,2696.83
2026-06-03,1,TSU-10,Unit I,Excel Slub,3107.72
2026-06-03,1,SUL-01,Unit I,Liveaco Compact,475.01
2026-06-03,1,SUL-02,Unit I,VSF Export,644.81
2026-06-03,1,SUL-03,Unit I,Excel Slub,494.14
2026-06-03,1,SUL-04,Unit I,Liveaco Compact,484.39
2026-06-03,1,SUL-05,Unit I,Liveaco Compact,454.28
2026-06-03,2,TOY-01,Unit I,VSF Export,4938.05
2026-06-03,2,TOY-02,Unit I,Excel Slub,3517.43
2026-06-03,2,TOY-03,Unit I,Liveaco Compact,3728.93
2026-06-03,2,TOY-04,Unit I,Liveaco Compact,4449.22
2026-06-03,2,TOY-05,Unit I,Liveaco Compact,4472.19
2026-06-03,2,TOY-06,Unit I,Liveaco Compact,4415.99
2026-06-03,2,TOY-07,Unit I,Liveaco Compact,4060.86
2026-06-03,2,TOY-08,Unit I,Excel Slub,3903.09
2026-06-03,2,TOY-09,Unit I,VSF Export,4995.38
2026-06-03,2,TOY-10,Unit I,Excel Slub,4792.06
2026-06-03,2,TOY-11,Unit I,Liveaco Compact,3868.36
2026-06-03,2,TOY-12,Unit I,VSF Export,5600.15
2026-06-03,2,TOY-13,Unit I,VSF Export,5204.59
2026-06-03,2,TOY-14,Unit I,Liveaco Compact,4088.13
2026-06-03,2,TOY-15,Unit I,Liveaco Compact,3991.41
2026-06-03,2,TSU-01,Unit I,Liveaco Compact,3075.59
2026-06-03,2,TSU-02,Unit I,VSF Export,3215.45
2026-06-03,2,TSU-03,Unit I,Excel Slub,3104.61
2026-06-03,2,TSU-04,Unit I,Liveaco Compact,2663.94
2026-06-03,2,TSU-05,Unit I,Excel Slub,3267.53
2026-06-03,2,TSU-06,Unit I,Liveaco Compact,2738.08
2026-06-03,2,TSU-07,Unit I,VSF Export,3871.05
2026-06-03,2,TSU-08,Unit I,VSF Export,3717.12
2026-06-03,2,TSU-09,Unit I,Liveaco Compact,3215.95
2026-06-03,2,TSU-10,Unit I,Liveaco Compact,2745.39
2026-06-03,2,SUL-01,Unit I,Excel Slub,498.85
2026-06-03,2,SUL-02,Unit I,VSF Export,597.21
2026-06-03,2,SUL-03,Unit I,Excel Slub,535.94
2026-06-03,2,SUL-04,Unit I,Liveaco Compact,524.4
2026-06-03,2,SUL-05,Unit I,VSF Export,535.35
2026-06-03,3,TOY-01,Unit I,Liveaco Compact,3455.27
2026-06-03,3,TOY-02,Unit I,VSF Export,4773.11
2026-06-03,3,TOY-03,Unit I,Excel Slub,4570.45
2026-06-03,3,TOY-04,Unit I,Excel Slub,4766.75
2026-06-03,3,TOY-05,Unit I,Excel Slub,4715.26
2026-06-03,3,TOY-06,Unit I,VSF Export,5502.26
2026-06-03,3,TOY-07,Unit I,Excel Slub,4933.28
2026-06-03,3,TOY-08,Unit I,Excel Slub,4144.29
2026-06-03,3,TOY-09,Unit I,Excel Slub,4656.48
2026-06-03,3,TOY-10,Unit I,Liveaco Compact,4154.31
2026-06-03,3,TOY-11,Unit I,Excel Slub,4090.11
2026-06-03,3,TOY-12,Unit I,Excel Slub,4623.82
2026-06-03,3,TOY-13,Unit I,Excel Slub,4331.34
2026-06-03,3,TOY-14,Unit I,Excel Slub,4298.49
2026-06-03,3,TOY-15,Unit I,VSF Export,4361.96
2026-06-03,3,TSU-01,Unit I,Liveaco Compact,2667.77
2026-06-03,3,TSU-02,Unit I,Excel Slub,3371.57
2026-06-03,3,TSU-03,Unit I,VSF Export,3593.99
2026-06-03,3,TSU-04,Unit I,Excel Slub,2793.47
2026-06-03,3,TSU-05,Unit I,Liveaco Compact,2926.21
2026-06-03,3,TSU-06,Unit I,Excel Slub,2966.78
2026-06-03,3,TSU-07,Unit I,Excel Slub,2793.25
2026-06-03,3,TSU-08,Unit I,VSF Export,3752.75
2026-06-03,3,TSU-09,Unit I,VSF Export,3538.45
2026-06-03,3,TSU-10,Unit I,VSF Export,3188.14
2026-06-03,3,SUL-01,Unit I,Excel Slub,584.4
2026-06-03,3,SUL-02,Unit I,VSF Export,612.97
2026-06-03,3,SUL-03,Unit I,Liveaco Compact,507.39
2026-06-03,3,SUL-04,Unit I,Liveaco Compact,521.83
2026-06-03,3,SUL-05,Unit I,Liveaco Compact,526.77
2026-06-04,1,TOY-01,Unit I,VSF Export,4751.83
2026-06-04,1,TOY-02,Unit I,Liveaco Compact,3007.46
2026-06-04,1,TOY-03,Unit I,VSF Export,4778.01
2026-06-04,1,TOY-04,Unit I,VSF Export,4806.81
2026-06-04,1,TOY-05,Unit I,Liveaco Compact,3961.66
2026-06-04,1,TOY-06,Unit I,VSF Export,4557.54
2026-06-04,1,TOY-07,Unit I,VSF Export,4444.91
2026-06-04,1,TOY-08,Unit I,VSF Export,3934.71
2026-06-04,1,TOY-09,Unit I,Liveaco Compact,3946.47
2026-06-04,1,TOY-10,Unit I,Liveaco Compact,4018.76
2026-06-04,1,TOY-11,Unit I,Liveaco Compact,3785.21
2026-06-04,1,TOY-12,Unit I,VSF Export,5180.08
2026-06-04,1,TOY-13,Unit I,Liveaco Compact,3905.97
2026-06-04,1,TOY-14,Unit I,VSF Export,3920.68
2026-06-04,1,TOY-15,Unit I,Excel Slub,4473.3
2026-06-04,1,TSU-01,Unit I,Liveaco Compact,2807.11
2026-06-04,1,TSU-02,Unit I,Excel Slub,2958.24
2026-06-04,1,TSU-03,Unit I,VSF Export,3527.67
2026-06-04,1,TSU-04,Unit I,Liveaco Compact,2498.0
2026-06-04,1,TSU-05,Unit I,Excel Slub,3038.25
2026-06-04,1,TSU-06,Unit I,Excel Slub,3258.66
2026-06-04,1,TSU-07,Unit I,VSF Export,3531.18
2026-06-04,1,TSU-08,Unit I,Liveaco Compact,2639.07
2026-06-04,1,TSU-09,Unit I,VSF Export,3452.94
2026-06-04,1,TSU-10,Unit I,Liveaco Compact,2532.94
2026-06-04,1,SUL-01,Unit I,Excel Slub,530.37
2026-06-04,1,SUL-02,Unit I,Excel Slub,527.56
2026-06-04,1,SUL-03,Unit I,Liveaco Compact,489.5
2026-06-04,1,SUL-04,Unit I,Excel Slub,540.35
2026-06-04,1,SUL-05,Unit I,Liveaco Compact,539.04
2026-06-04,2,TOY-01,Unit I,VSF Export,5020.03
2026-06-04,2,TOY-02,Unit I,Excel Slub,3492.04
2026-06-04,2,TOY-03,Unit I,VSF Export,4755.9
2026-06-04,2,TOY-04,Unit I,VSF Export,4682.93
2026-06-04,2,TOY-05,Unit I,VSF Export,4775.04
2026-06-04,2,TOY-06,Unit I,Excel Slub,4095.51
2026-06-04,2,TOY-07,Unit I,Liveaco Compact,4043.13
2026-06-04,2,TOY-08,Unit I,Liveaco Compact,3061.2
2026-06-04,2,TOY-09,Unit I,Liveaco Compact,4204.95
2026-06-04,2,TOY-10,Unit I,Excel Slub,4781.63
2026-06-04,2,TOY-11,Unit I,Excel Slub,4451.76
2026-06-04,2,TOY-12,Unit I,Liveaco Compact,3715.92
2026-06-04,2,TOY-13,Unit I,VSF Export,5654.48
2026-06-04,2,TOY-14,Unit I,Excel Slub,4510.01
2026-06-04,2,TOY-15,Unit I,Excel Slub,4906.0
2026-06-04,2,TSU-01,Unit I,VSF Export,3742.91
2026-06-04,2,TSU-02,Unit I,VSF Export,3417.58
2026-06-04,2,TSU-03,Unit I,Liveaco Compact,2801.71
2026-06-04,2,TSU-04,Unit I,VSF Export,3407.8
2026-06-04,2,TSU-05,Unit I,Excel Slub,3319.19
2026-06-04,2,TSU-06,Unit I,Liveaco Compact,2637.31
2026-06-04,2,TSU-07,Unit I,Excel Slub,2958.03
2026-06-04,2,TSU-08,Unit I,Excel Slub,2938.67
2026-06-04,2,TSU-09,Unit I,Excel Slub,2764.37
2026-06-04,2,TSU-10,Unit I,VSF Export,3795.03
2026-06-04,2,SUL-01,Unit I,VSF Export,562.39
2026-06-04,2,SUL-02,Unit I,VSF Export,573.29
2026-06-04,2,SUL-03,Unit I,Excel Slub,535.8
2026-06-04,2,SUL-04,Unit I,VSF Export,669.96
2026-06-04,2,SUL-05,Unit I,Liveaco Compact,466.92
2026-06-04,3,TOY-01,Unit I,Liveaco Compact,4574.25
2026-06-04,3,TOY-02,Unit I,Excel Slub,4328.2
2026-06-04,3,TOY-03,Unit I,Excel Slub,4586.09
2026-06-04,3,TOY-04,Unit I,Liveaco Compact,3811.31
2026-06-04,3,TOY-05,Unit I,Liveaco Compact,3632.2
2026-06-04,3,TOY-06,Unit I,Excel Slub,4981.99
2026-06-04,3,TOY-07,Unit I,Excel Slub,4123.74
2026-06-04,3,TOY-08,Unit I,Excel Slub,3830.87
2026-06-04,3,TOY-09,Unit I,VSF Export,4452.2
2026-06-04,3,TOY-10,Unit I,Excel Slub,4521.95
2026-06-04,3,TOY-11,Unit I,VSF Export,4834.56
2026-06-04,3,TOY-12,Unit I,Excel Slub,4127.34
2026-06-04,3,TOY-13,Unit I,VSF Export,4763.83
2026-06-04,3,TOY-14,Unit I,VSF Export,4461.3
2026-06-04,3,TOY-15,Unit I,Excel Slub,4493.56
2026-06-04,3,TSU-01,Unit I,Excel Slub,3016.43
2026-06-04,3,TSU-02,Unit I,Liveaco Compact,2659.72
2026-06-04,3,TSU-03,Unit I,VSF Export,3694.21
2026-06-04,3,TSU-04,Unit I,Liveaco Compact,2698.86
2026-06-04,3,TSU-05,Unit I,Liveaco Compact,2308.07
2026-06-04,3,TSU-06,Unit I,Excel Slub,3375.25
2026-06-04,3,TSU-07,Unit I,VSF Export,3769.33
2026-06-04,3,TSU-08,Unit I,Excel Slub,2648.59
2026-06-04,3,TSU-09,Unit I,VSF Export,3139.86
2026-06-04,3,TSU-10,Unit I,Liveaco Compact,3032.27
2026-06-04,3,SUL-01,Unit I,Excel Slub,542.21
2026-06-04,3,SUL-02,Unit I,Liveaco Compact,457.82
2026-06-04,3,SUL-03,Unit I,Excel Slub,500.08
2026-06-04,3,SUL-04,Unit I,Liveaco Compact,586.9
2026-06-04,3,SUL-05,Unit I,Liveaco Compact,483.44
2026-06-05,1,TOY-01,Unit I,VSF Export,4828.39
2026-06-05,1,TOY-02,Unit I,Excel Slub,4172.82
2026-06-05,1,TOY-03,Unit I,VSF Export,5303.56
2026-06-05,1,TOY-04,Unit I,Excel Slub,4094.61
2026-06-05,1,TOY-05,Unit I,Liveaco Compact,3595.69
2026-06-05,1,TOY-06,Unit I,Liveaco Compact,4542.14
2026-06-05,1,TOY-07,Unit I,Liveaco Compact,4439.32
2026-06-05,1,TOY-08,Unit I,Excel Slub,3954.05
2026-06-05,1,TOY-09,Unit I,Liveaco Compact,3953.69
2026-06-05,1,TOY-10,Unit I,Excel Slub,4043.7
2026-06-05,1,TOY-11,Unit I,VSF Export,4743.11
2026-06-05,1,TOY-12,Unit I,Liveaco Compact,4293.29
2026-06-05,1,TOY-13,Unit I,Excel Slub,4950.93
2026-06-05,1,TOY-14,Unit I,Liveaco Compact,3491.56
2026-06-05,1,TOY-15,Unit I,Excel Slub,4078.19
2026-06-05,1,TSU-01,Unit I,Liveaco Compact,3223.36
2026-06-05,1,TSU-02,Unit I,Liveaco Compact,2942.41
2026-06-05,1,TSU-03,Unit I,VSF Export,3415.45
2026-06-05,1,TSU-04,Unit I,Excel Slub,3196.45
2026-06-05,1,TSU-05,Unit I,VSF Export,3255.41
2026-06-05,1,TSU-06,Unit I,Excel Slub,2751.26
2026-06-05,1,TSU-07,Unit I,Excel Slub,2783.49
2026-06-05,1,TSU-08,Unit I,Liveaco Compact,2881.2
2026-06-05,1,TSU-09,Unit I,VSF Export,3003.65
2026-06-05,1,TSU-10,Unit I,Excel Slub,3010.17
2026-06-05,1,SUL-01,Unit I,VSF Export,558.01
2026-06-05,1,SUL-02,Unit I,Liveaco Compact,569.17
2026-06-05,1,SUL-03,Unit I,Excel Slub,559.37
2026-06-05,1,SUL-04,Unit I,Liveaco Compact,476.35
2026-06-05,1,SUL-05,Unit I,VSF Export,665.38
2026-06-05,2,TOY-01,Unit I,VSF Export,4718.75
2026-06-05,2,TOY-02,Unit I,VSF Export,3734.79
2026-06-05,2,TOY-03,Unit I,Liveaco Compact,4077.37
2026-06-05,2,TOY-04,Unit I,Liveaco Compact,4062.12
2026-06-05,2,TOY-05,Unit I,Liveaco Compact,3893.95
2026-06-05,2,TOY-06,Unit I,Liveaco Compact,4307.57
2026-06-05,2,TOY-07,Unit I,VSF Export,5012.86
2026-06-05,2,TOY-08,Unit I,Liveaco Compact,3816.12
2026-06-05,2,TOY-09,Unit I,Liveaco Compact,3755.6
2026-06-05,2,TOY-10,Unit I,Excel Slub,4064.36
2026-06-05,2,TOY-11,Unit I,Excel Slub,3981.22
2026-06-05,2,TOY-12,Unit I,VSF Export,4847.47
2026-06-05,2,TOY-13,Unit I,Excel Slub,4863.87
2026-06-05,2,TOY-14,Unit I,VSF Export,4806.63
2026-06-05,2,TOY-15,Unit I,Liveaco Compact,4171.3
2026-06-05,2,TSU-01,Unit I,Liveaco Compact,2876.42
2026-06-05,2,TSU-02,Unit I,Liveaco Compact,3183.78
2026-06-05,2,TSU-03,Unit I,Liveaco Compact,2642.28
2026-06-05,2,TSU-04,Unit I,VSF Export,3875.28
2026-06-05,2,TSU-05,Unit I,Liveaco Compact,2819.05
2026-06-05,2,TSU-06,Unit I,Excel Slub,3377.72
2026-06-05,2,TSU-07,Unit I,Liveaco Compact,2735.64
2026-06-05,2,TSU-08,Unit I,VSF Export,3159.55
2026-06-05,2,TSU-09,Unit I,Liveaco Compact,2639.16
2026-06-05,2,TSU-10,Unit I,VSF Export,3304.89
2026-06-05,2,SUL-01,Unit I,VSF Export,638.1
2026-06-05,2,SUL-02,Unit I,Excel Slub,503.37
2026-06-05,2,SUL-03,Unit I,Liveaco Compact,484.5
2026-06-05,2,SUL-04,Unit I,Excel Slub,545.56
2026-06-05,2,SUL-05,Unit I,VSF Export,557.69
2026-06-05,3,TOY-01,Unit I,VSF Export,5332.72
2026-06-05,3,TOY-02,Unit I,Excel Slub,3743.22
2026-06-05,3,TOY-03,Unit I,VSF Export,5271.86
2026-06-05,3,TOY-04,Unit I,Liveaco Compact,3955.86
2026-06-05,3,TOY-05,Unit I,Excel Slub,4044.72
2026-06-05,3,TOY-06,Unit I,Liveaco Compact,4174.0
2026-06-05,3,TOY-07,Unit I,Excel Slub,4370.64
2026-06-05,3,TOY-08,Unit I,VSF Export,3726.95
2026-06-05,3,TOY-09,Unit I,VSF Export,4816.82
2026-06-05,3,TOY-10,Unit I,Liveaco Compact,4472.65
2026-06-05,3,TOY-11,Unit I,Liveaco Compact,4447.73
2026-06-05,3,TOY-12,Unit I,VSF Export,4821.79
2026-06-05,3,TOY-13,Unit I,VSF Export,5187.22
