date,shift,machine_id,unit,department,machine_type,target_qty,actual_qty,efficiency_pct
2026-06-01,1,TSU-10,Unit I,Weaving,Tsudakoma,15000,13841,92.28
2026-06-01,1,SUL-01,Unit I,Weaving,Sulzer,2700,2579,95.55
2026-06-01,1,SUL-02,Unit I,Weaving,Sulzer,2700,2409,89.25
2026-06-01,1,SUL-03,Unit I,Weaving,Sulzer,2700,2615,96.88
2026-06-01,1,SUL-04,Unit I,Weaving,Sulzer,2700,2483,92.0
2026-06-01,1,SUL-05,Unit I,Weaving,Sulzer,2700,2525,93.54
2026-06-01,1,RF-01,Unit I,Spinning,RingFrame,2500,2299,91.99
2026-06-01,1,RF-02,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-01,1,RF-03,Unit I,Spinning,RingFrame,2500,2373,94.93
2026-06-01,1,RF-04,Unit I,Spinning,RingFrame,2500,2242,89.71
2026-06-01,1,RF-05,Unit I,Spinning,RingFrame,2500,2477,99.11
2026-06-01,1,RF-06,Unit I,Spinning,RingFrame,2500,2222,88.9
2026-06-01,1,RF-07,Unit I,Spinning,RingFrame,2500,2401,96.04
2026-06-01,1,RF-08,Unit I,Spinning,RingFrame,2500,2130,85.2
2026-06-01,1,RF-09,Unit I,Spinning,RingFrame,2500,2208,88.36
2026-06-01,1,RF-10,Unit I,Spinning,RingFrame,2500,2399,95.98
2026-06-01,1,RF-11,Unit I,Spinning,RingFrame,2500,2042,81.69
2026-06-01,1,RF-12,Unit I,Spinning,RingFrame,2500,2396,95.86
2026-06-01,1,VTX-01,Unit I,Spinning,Vortex,4700,4437,94.42
2026-06-01,1,VTX-02,Unit I,Spinning,Vortex,4700,4394,93.49
2026-06-01,1,VTX-03,Unit I,Spinning,Vortex,4700,4117,87.61
2026-06-01,1,VTX-04,Unit I,Spinning,Vortex,4700,4295,91.4
2026-06-01,1,VTX-05,Unit I,Spinning,Vortex,4700,4356,92.7
2026-06-01,1,VTX-06,Unit I,Spinning,Vortex,4700,3914,83.29
2026-06-01,1,VTX-07,Unit I,Spinning,Vortex,4700,4545,96.72
2026-06-01,1,VTX-08,Unit I,Spinning,Vortex,4700,4050,86.18
2026-06-01,1,VTX-09,Unit I,Spinning,Vortex,4700,4541,96.62
2026-06-01,1,VTX-10,Unit I,Spinning,Vortex,4700,4374,93.07
2026-06-01,1,VTX-11,Unit I,Spinning,Vortex,4700,4305,91.62
2026-06-01,1,VTX-12,Unit I,Spinning,Vortex,4700,4608,98.06
2026-06-01,1,AJ-01,Unit I,Spinning,Airjet,3750,3750,100.0
2026-06-01,1,AJ-02,Unit I,Spinning,Airjet,3750,3737,99.66
2026-06-01,1,AJ-03,Unit I,Spinning,Airjet,3750,3405,90.8
2026-06-01,1,AJ-04,Unit I,Spinning,Airjet,3750,3504,93.45
2026-06-01,1,AJ-05,Unit I,Spinning,Airjet,3750,3624,96.66
2026-06-01,2,TOY-01,Unit I,Weaving,Toyota,21700,21673,99.88
2026-06-01,2,TOY-02,Unit I,Weaving,Toyota,21700,16406,75.6
2026-06-01,2,TOY-03,Unit I,Weaving,Toyota,21700,20413,94.07
2026-06-01,2,TOY-04,Unit I,Weaving,Toyota,21700,19414,89.47
2026-06-01,2,TOY-05,Unit I,Weaving,Toyota,21700,19317,89.02
2026-06-01,2,TOY-06,Unit I,Weaving,Toyota,21700,21496,99.06
2026-06-01,2,TOY-07,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,2,TOY-08,Unit I,Weaving,Toyota,21700,16847,77.64
2026-06-01,2,TOY-09,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,2,TOY-10,Unit I,Weaving,Toyota,21700,21007,96.81
2026-06-01,2,TOY-11,Unit I,Weaving,Toyota,21700,19915,91.77
2026-06-01,2,TOY-12,Unit I,Weaving,Toyota,21700,21007,96.81
2026-06-01,2,TOY-13,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,2,TOY-14,Unit I,Weaving,Toyota,21700,20576,94.82
2026-06-01,2,TOY-15,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,2,TSU-01,Unit I,Weaving,Tsudakoma,15000,12285,81.9
2026-06-01,2,TSU-02,Unit I,Weaving,Tsudakoma,15000,14866,99.11
2026-06-01,2,TSU-03,Unit I,Weaving,Tsudakoma,15000,14315,95.44
2026-06-01,2,TSU-04,Unit I,Weaving,Tsudakoma,15000,14025,93.5
2026-06-01,2,TSU-05,Unit I,Weaving,Tsudakoma,15000,14318,95.46
2026-06-01,2,TSU-06,Unit I,Weaving,Tsudakoma,15000,12759,85.06
2026-06-01,2,TSU-07,Unit I,Weaving,Tsudakoma,15000,14085,93.9
2026-06-01,2,TSU-08,Unit I,Weaving,Tsudakoma,15000,14517,96.79
2026-06-01,2,TSU-09,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-01,2,TSU-10,Unit I,Weaving,Tsudakoma,15000,13861,92.41
2026-06-01,2,SUL-01,Unit I,Weaving,Sulzer,2700,2455,90.96
2026-06-01,2,SUL-02,Unit I,Weaving,Sulzer,2700,2497,92.49
2026-06-01,2,SUL-03,Unit I,Weaving,Sulzer,2700,2688,99.58
2026-06-01,2,SUL-04,Unit I,Weaving,Sulzer,2700,2609,96.64
2026-06-01,2,SUL-05,Unit I,Weaving,Sulzer,2700,2493,92.35
2026-06-01,2,RF-01,Unit I,Spinning,RingFrame,2500,2439,97.57
2026-06-01,2,RF-02,Unit I,Spinning,RingFrame,2500,2387,95.49
2026-06-01,2,RF-03,Unit I,Spinning,RingFrame,2500,2496,99.84
2026-06-01,2,RF-04,Unit I,Spinning,RingFrame,2500,2287,91.49
2026-06-01,2,RF-05,Unit I,Spinning,RingFrame,2500,2334,93.36
2026-06-01,2,RF-06,Unit I,Spinning,RingFrame,2500,2325,93.04
2026-06-01,2,RF-07,Unit I,Spinning,RingFrame,2500,2192,87.68
2026-06-01,2,RF-08,Unit I,Spinning,RingFrame,2500,2412,96.48
2026-06-01,2,RF-09,Unit I,Spinning,RingFrame,2500,2407,96.31
2026-06-01,2,RF-10,Unit I,Spinning,RingFrame,2500,2375,95.03
2026-06-01,2,RF-11,Unit I,Spinning,RingFrame,2500,1920,76.83
2026-06-01,2,RF-12,Unit I,Spinning,RingFrame,2500,2198,87.92
2026-06-01,2,VTX-01,Unit I,Spinning,Vortex,4700,4366,92.9
2026-06-01,2,VTX-02,Unit I,Spinning,Vortex,4700,4384,93.29
2026-06-01,2,VTX-03,Unit I,Spinning,Vortex,4700,4276,90.99
2026-06-01,2,VTX-04,Unit I,Spinning,Vortex,4700,4427,94.19
2026-06-01,2,VTX-05,Unit I,Spinning,Vortex,4700,4559,97.02
2026-06-01,2,VTX-06,Unit I,Spinning,Vortex,4700,4109,87.43
2026-06-01,2,VTX-07,Unit I,Spinning,Vortex,4700,4506,95.87
2026-06-01,2,VTX-08,Unit I,Spinning,Vortex,4700,4525,96.29
2026-06-01,2,VTX-09,Unit I,Spinning,Vortex,4700,4447,94.63
2026-06-01,2,VTX-10,Unit I,Spinning,Vortex,4700,4014,85.41
2026-06-01,2,VTX-11,Unit I,Spinning,Vortex,4700,4458,94.87
2026-06-01,2,VTX-12,Unit I,Spinning,Vortex,4700,4479,95.3
2026-06-01,2,AJ-01,Unit I,Spinning,Airjet,3750,3750,100.0
2026-06-01,2,AJ-02,Unit I,Spinning,Airjet,3750,3526,94.04
2026-06-01,2,AJ-03,Unit I,Spinning,Airjet,3750,3619,96.51
2026-06-01,2,AJ-04,Unit I,Spinning,Airjet,3750,3555,94.83
2026-06-01,2,AJ-05,Unit I,Spinning,Airjet,3750,3343,89.16
2026-06-01,3,TOY-01,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,3,TOY-02,Unit I,Weaving,Toyota,21700,17741,81.76
2026-06-01,3,TOY-03,Unit I,Weaving,Toyota,21700,21473,98.96
2026-06-01,3,TOY-04,Unit I,Weaving,Toyota,21700,19628,90.45
2026-06-01,3,TOY-05,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,3,TOY-06,Unit I,Weaving,Toyota,21700,19093,87.99
2026-06-01,3,TOY-07,Unit I,Weaving,Toyota,21700,21251,97.93
2026-06-01,3,TOY-08,Unit I,Weaving,Toyota,21700,19302,88.95
2026-06-01,3,TOY-09,Unit I,Weaving,Toyota,21700,19540,90.05
2026-06-01,3,TOY-10,Unit I,Weaving,Toyota,21700,20000,92.17
2026-06-01,3,TOY-11,Unit I,Weaving,Toyota,21700,20723,95.5
2026-06-01,3,TOY-12,Unit I,Weaving,Toyota,21700,20068,92.48
2026-06-01,3,TOY-13,Unit I,Weaving,Toyota,21700,18932,87.25
2026-06-01,3,TOY-14,Unit I,Weaving,Toyota,21700,20689,95.34
2026-06-01,3,TOY-15,Unit I,Weaving,Toyota,21700,19462,89.69
2026-06-01,3,TSU-01,Unit I,Weaving,Tsudakoma,15000,14605,97.37
2026-06-01,3,TSU-02,Unit I,Weaving,Tsudakoma,15000,13560,90.4
2026-06-01,3,TSU-03,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-01,3,TSU-04,Unit I,Weaving,Tsudakoma,15000,13662,91.08
2026-06-01,3,TSU-05,Unit I,Weaving,Tsudakoma,15000,14008,93.39
2026-06-01,3,TSU-06,Unit I,Weaving,Tsudakoma,15000,14860,99.07
2026-06-01,3,TSU-07,Unit I,Weaving,Tsudakoma,15000,13326,88.85
2026-06-01,3,TSU-08,Unit I,Weaving,Tsudakoma,15000,14420,96.14
2026-06-01,3,TSU-09,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-01,3,TSU-10,Unit I,Weaving,Tsudakoma,15000,13044,86.96
2026-06-01,3,SUL-01,Unit I,Weaving,Sulzer,2700,2589,95.92
2026-06-01,3,SUL-02,Unit I,Weaving,Sulzer,2700,2600,96.3
2026-06-01,3,SUL-03,Unit I,Weaving,Sulzer,2700,2670,98.91
2026-06-01,3,SUL-04,Unit I,Weaving,Sulzer,2700,2398,88.82
2026-06-01,3,SUL-05,Unit I,Weaving,Sulzer,2700,2386,88.4
2026-06-01,3,RF-01,Unit I,Spinning,RingFrame,2500,2440,97.61
2026-06-01,3,RF-02,Unit I,Spinning,RingFrame,2500,2412,96.48
2026-06-01,3,RF-03,Unit I,Spinning,RingFrame,2500,2406,96.25
2026-06-01,3,RF-04,Unit I,Spinning,RingFrame,2500,2418,96.73
2026-06-01,3,RF-05,Unit I,Spinning,RingFrame,2500,2289,91.6
2026-06-01,3,RF-06,Unit I,Spinning,RingFrame,2500,2404,96.16
2026-06-01,3,RF-07,Unit I,Spinning,RingFrame,2500,2411,96.47
2026-06-01,3,RF-08,Unit I,Spinning,RingFrame,2500,2285,91.43
2026-06-01,3,RF-09,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-01,3,RF-10,Unit I,Spinning,RingFrame,2500,2434,97.37
2026-06-01,3,RF-11,Unit I,Spinning,RingFrame,2500,1801,72.04
2026-06-01,3,RF-12,Unit I,Spinning,RingFrame,2500,2457,98.28
2026-06-01,3,VTX-01,Unit I,Spinning,Vortex,4700,4235,90.13
2026-06-01,3,VTX-02,Unit I,Spinning,Vortex,4700,4649,98.94
2026-06-01,3,VTX-03,Unit I,Spinning,Vortex,4700,4700,100.0
2026-06-01,3,VTX-04,Unit I,Spinning,Vortex,4700,4272,90.9
2026-06-01,3,VTX-05,Unit I,Spinning,Vortex,4700,4691,99.82
2026-06-01,3,VTX-06,Unit I,Spinning,Vortex,4700,3763,80.06
2026-06-01,3,VTX-07,Unit I,Spinning,Vortex,4700,4658,99.11
2026-06-01,3,VTX-08,Unit I,Spinning,Vortex,4700,4700,100.0
2026-06-01,3,VTX-09,Unit I,Spinning,Vortex,4700,4407,93.77
2026-06-01,3,VTX-10,Unit I,Spinning,Vortex,4700,4287,91.23
2026-06-01,3,VTX-11,Unit I,Spinning,Vortex,4700,4255,90.55
2026-06-01,3,VTX-12,Unit I,Spinning,Vortex,4700,4273,90.92
2026-06-01,3,AJ-01,Unit I,Spinning,Airjet,3750,3548,94.61
2026-06-01,3,AJ-02,Unit I,Spinning,Airjet,3750,3626,96.71
2026-06-01,3,AJ-03,Unit I,Spinning,Airjet,3750,3614,96.38
2026-06-01,3,AJ-04,Unit I,Spinning,Airjet,3750,3717,99.14
2026-06-01,3,AJ-05,Unit I,Spinning,Airjet,3750,3564,95.07
2026-06-02,1,TOY-01,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-02,1,TOY-02,Unit I,Weaving,Toyota,21700,16638,76.68
2026-06-02,1,TOY-03,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-02,1,TOY-04,Unit I,Weaving,Toyota,21700,21293,98.13
2026-06-02,1,TOY-05,Unit I,Weaving,Toyota,21700,19684,90.71
2026-06-02,1,TOY-06,Unit I,Weaving,Toyota,21700,19453,89.65
2026-06-02,1,TOY-07,Unit I,Weaving,Toyota,21700,21138,97.41
2026-06-02,1,TOY-08,Unit I,Weaving,Toyota,21700,16683,76.88
2026-06-02,1,TOY-09,Unit I,Weaving,Toyota,21700,21389,98.57
2026-06-02,1,TOY-10,Unit I,Weaving,Toyota,21700,21128,97.37
2026-06-02,1,TOY-11,Unit I,Weaving,Toyota,21700,20535,94.64
2026-06-02,1,TOY-12,Unit I,Weaving,Toyota,21700,19696,90.77
2026-06-02,1,TOY-13,Unit I,Weaving,Toyota,21700,18971,87.43
2026-06-02,1,TOY-14,Unit I,Weaving,Toyota,21700,20130,92.77
2026-06-02,1,TOY-15,Unit I,Weaving,Toyota,21700,21544,99.28
2026-06-02,1,TSU-01,Unit I,Weaving,Tsudakoma,15000,14410,96.07
2026-06-02,1,TSU-02,Unit I,Weaving,Tsudakoma,15000,13315,88.77
2026-06-02,1,TSU-03,Unit I,Weaving,Tsudakoma,15000,14379,95.87
2026-06-02,1,TSU-04,Unit I,Weaving,Tsudakoma,15000,14538,96.93
2026-06-02,1,TSU-05,Unit I,Weaving,Tsudakoma,15000,13587,90.58
2026-06-02,1,TSU-06,Unit I,Weaving,Tsudakoma,15000,14365,95.77
2026-06-02,1,TSU-07,Unit I,Weaving,Tsudakoma,15000,14293,95.29
2026-06-02,1,TSU-08,Unit I,Weaving,Tsudakoma,15000,13392,89.29
2026-06-02,1,TSU-09,Unit I,Weaving,Tsudakoma,15000,14518,96.79
2026-06-02,1,TSU-10,Unit I,Weaving,Tsudakoma,15000,14670,97.8
2026-06-02,1,SUL-01,Unit I,Weaving,Sulzer,2700,2700,100.0
2026-06-02,1,SUL-02,Unit I,Weaving,Sulzer,2700,2700,100.0
2026-06-02,1,SUL-03,Unit I,Weaving,Sulzer,2700,2379,88.11
2026-06-02,1,SUL-04,Unit I,Weaving,Sulzer,2700,2438,90.31
2026-06-02,1,SUL-05,Unit I,Weaving,Sulzer,2700,2634,97.58
2026-06-02,1,RF-01,Unit I,Spinning,RingFrame,2500,2439,97.57
2026-06-02,1,RF-02,Unit I,Spinning,RingFrame,2500,2439,97.58
2026-06-02,1,RF-03,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-02,1,RF-04,Unit I,Spinning,RingFrame,2500,2446,97.85
2026-06-02,1,RF-05,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-02,1,RF-06,Unit I,Spinning,RingFrame,2500,2494,99.77
2026-06-02,1,RF-07,Unit I,Spinning,RingFrame,2500,2456,98.26
2026-06-02,1,RF-08,Unit I,Spinning,RingFrame,2500,2335,93.42
2026-06-02,1,RF-09,Unit I,Spinning,RingFrame,2500,2469,98.79
2026-06-02,1,RF-10,Unit I,Spinning,RingFrame,2500,2278,91.14
2026-06-02,1,RF-11,Unit I,Spinning,RingFrame,2500,1920,76.82
2026-06-02,1,RF-12,Unit I,Spinning,RingFrame,2500,2314,92.57
2026-06-02,1,VTX-01,Unit I,Spinning,Vortex,4700,4484,95.41
2026-06-02,1,VTX-02,Unit I,Spinning,Vortex,4700,4700,100.0
2026-06-02,1,VTX-03,Unit I,Spinning,Vortex,4700,4026,85.66
2026-06-02,1,VTX-04,Unit I,Spinning,Vortex,4700,4626,98.43
2026-06-02,1,VTX-05,Unit I,Spinning,Vortex,4700,4086,86.94
2026-06-02,1,VTX-06,Unit I,Spinning,Vortex,4700,3555,75.64
2026-06-02,1,VTX-07,Unit I,Spinning,Vortex,4700,4700,100.0
2026-06-02,1,VTX-08,Unit I,Spinning,Vortex,4700,4480,95.32
2026-06-02,1,VTX-09,Unit I,Spinning,Vortex,4700,4211,89.61
2026-06-02,1,VTX-10,Unit I,Spinning,Vortex,4700,4296,91.42
2026-06-02,1,VTX-11,Unit I,Spinning,Vortex,4700,4624,98.4
2026-06-02,1,VTX-12,Unit I,Spinning,Vortex,4700,4293,91.35
2026-06-02,1,AJ-01,Unit I,Spinning,Airjet,3750,3603,96.08
2026-06-02,1,AJ-02,Unit I,Spinning,Airjet,3750,3571,95.23
2026-06-02,1,AJ-03,Unit I,Spinning,Airjet,3750,3440,91.74
2026-06-02,1,AJ-04,Unit I,Spinning,Airjet,3750,3750,100.0
2026-06-02,1,AJ-05,Unit I,Spinning,Airjet,3750,3681,98.17
2026-06-02,2,TOY-01,Unit I,Weaving,Toyota,21700,18417,84.87
2026-06-02,2,TOY-02,Unit I,Weaving,Toyota,21700,17128,78.93
2026-06-02,2,TOY-03,Unit I,Weaving,Toyota,21700,19896,91.69
2026-06-02,2,TOY-04,Unit I,Weaving,Toyota,21700,21539,99.26
2026-06-02,2,TOY-05,Unit I,Weaving,Toyota,21700,19755,91.04
2026-06-02,2,TOY-06,Unit I,Weaving,Toyota,21700,20490,94.43
2026-06-02,2,TOY-07,Unit I,Weaving,Toyota,21700,21162,97.52
2026-06-02,2,TOY-08,Unit I,Weaving,Toyota,21700,17865,82.33
2026-06-02,2,TOY-09,Unit I,Weaving,Toyota,21700,19312,89.0
2026-06-02,2,TOY-10,Unit I,Weaving,Toyota,21700,20252,93.33
2026-06-02,2,TOY-11,Unit I,Weaving,Toyota,21700,20099,92.63
2026-06-02,2,TOY-12,Unit I,Weaving,Toyota,21700,19906,91.73
2026-06-02,2,TOY-13,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-02,2,TOY-14,Unit I,Weaving,Toyota,21700,21054,97.02
2026-06-02,2,TOY-15,Unit I,Weaving,Toyota,21700,19246,88.7
2026-06-02,2,TSU-01,Unit I,Weaving,Tsudakoma,15000,14938,99.59
2026-06-02,2,TSU-02,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-02,2,TSU-03,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-02,2,TSU-04,Unit I,Weaving,Tsudakoma,15000,13110,87.4
2026-06-02,2,TSU-05,Unit I,Weaving,Tsudakoma,15000,13886,92.58
2026-06-02,2,TSU-06,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-02,2,TSU-07,Unit I,Weaving,Tsudakoma,15000,13719,91.46
2026-06-02,2,TSU-08,Unit I,Weaving,Tsudakoma,15000,14582,97.22
2026-06-02,2,TSU-09,Unit I,Weaving,Tsudakoma,15000,14830,98.87
2026-06-02,2,TSU-10,Unit I,Weaving,Tsudakoma,15000,13554,90.37
2026-06-02,2,SUL-01,Unit I,Weaving,Sulzer,2700,2556,94.7
2026-06-02,2,SUL-02,Unit I,Weaving,Sulzer,2700,2127,78.79
2026-06-02,2,SUL-03,Unit I,Weaving,Sulzer,2700,2426,89.88
2026-06-02,2,SUL-04,Unit I,Weaving,Sulzer,2700,2530,93.74
2026-06-02,2,SUL-05,Unit I,Weaving,Sulzer,2700,2396,88.76
2026-06-02,2,RF-01,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-02,2,RF-02,Unit I,Spinning,RingFrame,2500,2196,87.85
2026-06-02,2,RF-03,Unit I,Spinning,RingFrame,2500,2319,92.8
2026-06-02,2,RF-04,Unit I,Spinning,RingFrame,2500,2391,95.65
2026-06-02,2,RF-05,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-02,2,RF-06,Unit I,Spinning,RingFrame,2500,2195,87.82
2026-06-02,2,RF-07,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-02,2,RF-08,Unit I,Spinning,RingFrame,2500,2376,95.05
2026-06-02,2,RF-09,Unit I,Spinning,RingFrame,2500,2252,90.09
2026-06-02,2,RF-10,Unit I,Spinning,RingFrame,2500,2432,97.31
2026-06-02,2,RF-11,Unit I,Spinning,RingFrame,2500,1974,79.0
2026-06-02,2,RF-12,Unit I,Spinning,RingFrame,2500,2299,92.0
2026-06-02,2,VTX-01,Unit I,Spinning,Vortex,4700,4481,95.35
2026-06-02,2,VTX-02,Unit I,Spinning,Vortex,4700,4374,93.07
2026-06-02,2,VTX-03,Unit I,Spinning,Vortex,4700,4491,95.57
2026-06-02,2,VTX-04,Unit I,Spinning,Vortex,4700,4620,98.31
2026-06-02,2,VTX-05,Unit I,Spinning,Vortex,4700,4700,100.0
2026-06-02,2,VTX-06,Unit I,Spinning,Vortex,4700,3375,71.81
2026-06-02,2,VTX-07,Unit I,Spinning,Vortex,4700,4700,100.0
2026-06-02,2,VTX-08,Unit I,Spinning,Vortex,4700,4006,85.24
2026-06-02,2,VTX-09,Unit I,Spinning,Vortex,4700,4429,94.24
2026-06-02,2,VTX-10,Unit I,Spinning,Vortex,4700,4603,97.94
2026-06-02,2,VTX-11,Unit I,Spinning,Vortex,4700,4531,96.4
2026-06-02,2,VTX-12,Unit I,Spinning,Vortex,4700,4318,91.89
2026-06-02,2,AJ-01,Unit I,Spinning,Airjet,3750,3523,93.96
2026-06-02,2,AJ-02,Unit I,Spinning,Airjet,3750,3470,92.53
2026-06-02,2,AJ-03,Unit I,Spinning,Airjet,3750,3451,92.05
2026-06-02,2,AJ-04,Unit I,Spinning,Airjet,3750,3721,99.25
2026-06-02,2,AJ-05,Unit I,Spinning,Airjet,3750,3629,96.79
2026-06-02,3,TOY-01,Unit I,Weaving,Toyota,21700,19863,91.54
2026-06-02,3,TOY-02,Unit I,Weaving,Toyota,21700,17902,82.5
2026-06-02,3,TOY-03,Unit I,Weaving,Toyota,21700,20948,96.54
2026-06-02,3,TOY-04,Unit I,Weaving,Toyota,21700,21496,99.06
2026-06-02,3,TOY-05,Unit I,Weaving,Toyota,21700,21298,98.15
2026-06-02,3,TOY-06,Unit I,Weaving,Toyota,21700,19715,90.86
2026-06-02,3,TOY-07,Unit I,Weaving,Toyota,21700,20007,92.2
2026-06-02,3,TOY-08,Unit I,Weaving,Toyota,21700,17736,81.74
2026-06-02,3,TOY-09,Unit I,Weaving,Toyota,21700,21277,98.05
2026-06-02,3,TOY-10,Unit I,Weaving,Toyota,21700,20592,94.9
2026-06-02,3,TOY-11,Unit I,Weaving,Toyota,21700,20742,95.59
2026-06-02,3,TOY-12,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-02,3,TOY-13,Unit I,Weaving,Toyota,21700,19973,92.04
2026-06-02,3,TOY-14,Unit I,Weaving,Toyota,21700,21208,97.74
2026-06-02,3,TOY-15,Unit I,Weaving,Toyota,21700,20395,93.99
2026-06-02,3,TSU-01,Unit I,Weaving,Tsudakoma,15000,14086,93.91
2026-06-02,3,TSU-02,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-02,3,TSU-03,Unit I,Weaving,Tsudakoma,15000,14869,99.13
2026-06-02,3,TSU-04,Unit I,Weaving,Tsudakoma,15000,14860,99.07
2026-06-02,3,TSU-05,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-02,3,TSU-06,Unit I,Weaving,Tsudakoma,15000,14265,95.11
2026-06-02,3,TSU-07,Unit I,Weaving,Tsudakoma,15000,14761,98.41
2026-06-02,3,TSU-08,Unit I,Weaving,Tsudakoma,15000,14017,93.45
2026-06-02,3,TSU-09,Unit I,Weaving,Tsudakoma,15000,14493,96.62
2026-06-02,3,TSU-10,Unit I,Weaving,Tsudakoma,15000,14152,94.35
2026-06-02,3,SUL-01,Unit I,Weaving,Sulzer,2700,2578,95.48
2026-06-02,3,SUL-02,Unit I,Weaving,Sulzer,2700,2645,97.98
2026-06-02,3,SUL-03,Unit I,Weaving,Sulzer,2700,2454,90.91
2026-06-02,3,SUL-04,Unit I,Weaving,Sulzer,2700,2700,100.0
2026-06-02,3,SUL-05,Unit I,Weaving,Sulzer,2700,2429,89.97
2026-06-02,3,RF-01,Unit I,Spinning,RingFrame,2500,2223,88.93
2026-06-02,3,RF-02,Unit I,Spinning,RingFrame,2500,2500,100.0
2026-06-02,3,RF-03,Unit I,Spinning,RingFrame,2500,2473,98.96
2026-06-02,3,RF-04,Unit I,Spinning,RingFrame,2500,2453,98.12
2026-06-02,3,RF-05,Unit I,Spinning,RingFrame,2500,2453,98.14
2026-06-02,3,RF-06,Unit I,Spinning,RingFrame,2500,2373,94.94
2026-06-02,3,RF-07,Unit I,Spinning,RingFrame,2500,2262,90.51
2026-06-02,3,RF-08,Unit I,Spinning,RingFrame,2500,2384,95.38
2026-06-02,3,RF-09,Unit I,Spinning,RingFrame,2500,2290,91.61
2026-06-02,3,RF-10,Unit I,Spinning,RingFrame,2500,2496,99.88
2026-06-02,3,RF-11,Unit I,Spinning,RingFrame,2500,1931,77.26
2026-06-02,3,RF-12,Unit I,Spinning,RingFrame,2500,2271,90.87
2026-06-02,3,VTX-01,Unit I,Spinning,Vortex,4700,4389,93.39
2026-06-02,3,VTX-02,Unit I,Spinning,Vortex,4700,4562,97.06
2026-06-02,3,VTX-03,Unit I,Spinning,Vortex,4700,4332,92.18
2026-06-02,3,VTX-04,Unit I,Spinning,Vortex,4700,4271,90.89
2026-06-02,3,VTX-05,Unit I,Spinning,Vortex,4700,4522,96.22
